# OTU	G75230	G75231	G75232	G63407	G75234	G63409	G75229	G75228	G63413	G75226	G63406	G63410	G63402	G63403	G75227	G75233	G51190	G75237	G75236	G63411	G75235	taxonomy
844006	0	2	0	3	0	7	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
359750	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1224	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__; s__
208790	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	51	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
OTU799	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	Unclassified
365385	0	0	0	26	0	5	0	0	235	0	1	57	5	1	0	0	1	0	0	3	1	k__Bacteria; p__Actinobacteria; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium; s__bifidum
523542	0	0	0	1	146	0	0	6	155	34	0	0	0	23	6	0	0	429	23	0	15	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Dorea; s__
581079	100	12	72	111	61	248	15	49	278	20	79	36	99	228	4	82	472	130	2	331	26	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__
587041	3	1	246	0	0	113	0	45	0	0	104	6	0	0	0	209	1073	47	0	0	2	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
134265	0	0	0	0	0	0	0	0	233	4	0	0	0	0	0	0	0	0	0	10	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__
OTU773	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	Unclassified
145856	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Mogibacteriaceae]; g__; s__
298163	0	3	4	15	94	18	0	5	8	20	3	42	0	103	0	10	0	23	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__
505587	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	4	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__Finegoldia; s__
195222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
189843	1	0	0	0	0	12	0	7	0	0	0	0	0	0	0	0	0	14	0	2	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
367215	11	6	0	13	0	20	2	0	0	6	0	16	13	0	0	13	50	30	2	0	2	k__Bacteria; p__Firmicutes; c__Erysipelotrichi; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Holdemania; s__
349680	0	0	0	29	0	0	0	0	0	0	1	94	0	0	0	0	0	0	6	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
2195	0	0	0	0	0	0	0	0	0	781	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__nigrescens
198866	0	175	73	761	266	5699	85	950	6	73	0	497	59	35	108	53	0	1872	116	8	459	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides; s__
4444095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
659361	32	0	16	0	0	48	1	3	2	0	17	0	0	0	0	24	4	76	0	38	1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Dorea; s__
OTU307	0	0	0	0	0	0	0	3	1	0	0	4	0	0	0	0	0	9	0	0	0	Unclassified
580090	0	0	0	0	33	0	0	0	1	0	0	0	0	8	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
551902	0	0	0	0	37	133	0	22	0	0	227	1	1	29	4	0	20	57	76	520	100	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
OTU836	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Unclassified
194995	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
41229	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	508	0	0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Sutterella; s__
